# Rime user dictionary
#@/db_name	wubi86_jidian.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8083
#@/user_id	70ef9364-8391-414d-98f4-a1f5a8757344
dm 	面	c=7 d=0.12493 t=8083
dmdo 	碳	c=1 d=1 t=1461
dmge 	页表	c=3 d=2.40234 t=3253
dmgx 	碳素	c=2 d=1.96561 t=2349
dmh 	布	c=1 d=1 t=6628
dmjf 	耐	c=1 d=1 t=4618
dmkg 	页号	c=1 d=1 t=3854
dmnn 	而已	c=1 d=1 t=7159
dmow 	面粉	c=1 d=1 t=3087
dmrn 	厕所	c=2 d=1.40252 t=2048
dmsa 	页框	c=9 d=2.35033 t=4168
dmu 	页	c=10 d=1.88307 t=4141
dn 	成	c=5 d=0.0320647 t=8083
dnad 	尤其	c=1 d=1 t=1095
dnsg 	成本	c=1 d=1 t=1786
dnuu 	成立	c=1 d=1 t=3598
dnv 	万	c=3 d=2.87603 t=1365
dol 	盔	c=1 d=1 t=7918
dqbt 	克隆	c=1 d=1 t=800
dqpg 	确定	c=1 d=1 t=1925
dqq 	爽	c=1 d=1 t=1403
dqyw 	确认	c=1 d=1 t=1811
dr 	原	c=1 d=1 t=7239
drbb 	原子	c=2 d=1.56836 t=7336
dryg 	原语	c=3 d=2.39601 t=7397
dskf 	奇	c=4 d=1.05285 t=3779
dskg 	页框号	c=5 d=0.334502 t=3856
dsnc 	奇怪	c=1 d=1 t=6626
dt 	帮	c=5 d=1.04653 t=6849
du 	磁	c=1 d=1 t=5533
dukg 	磁头号	c=3 d=2.73504 t=5590
dunk 	磁臂	c=1 d=1 t=5542
duo 	碰	c=1 d=1 t=5799
dute 	磁盘	c=9 d=6.06894 t=5636
duud 	磁头	c=2 d=1.96079 t=5543
dw 	春	c=1 d=0.103312 t=8083
dx 	龙	c=4 d=1.19055 t=4466
dxfj 	龙井	c=4 d=2.04548 t=2666
dy 	太	c=17 d=1.9792 t=5198
dyn 	态	c=4 d=3.17911 t=7391
dyw 	碎	c=1 d=1 t=3407
e 	有	c=98 d=3.65002 t=8083
eaee 	腊月	c=1 d=1 t=2505
eaf 	腻	c=2 d=1 t=4622
eaj 	腊	c=3 d=2.98506 t=2056
ebqn 	服饰	c=1 d=1 t=1894
ebtl 	服务	c=4 d=1.49382 t=5602
ee 	朋	c=2 d=1.00046 t=3986
eedc 	朋友	c=3 d=1.97219 t=4920
eee 	月	c=7 d=0.118837 t=8083
eeq 	鹏	c=2 d=1.00282 t=3054
ef 	肝	c=2 d=1.956 t=1912
efsg 	脚本	c=1 d=0.878095 t=8083
